runs,mode,agent_a,agent_b,test,dimension,500,1000,1500,2000,2500,3000,3500,4000,4500,5000
run_1,chaser_follower,predator_0,predator_1,ccm_2,dy,0.433,0.509,0.432,0.425,0.387,0.357,0.338,0.321,0.33,0.325
run_1,chaser_follower,predator_1,predator_0,ccm_1,PCA_1,0.304,0.358,0.406,0.398,0.371,0.36,0.386,0.397,0.388,0.41
run_1,chaser_follower,predator_1,predator_0,ccm_1,PCA_2,0.594,0.369,0.471,0.441,0.456,0.395,0.39,0.368,0.398,0.39
run_1,chaser_follower,predator_1,predator_0,ccm_1,PCA_3,0.712,0.523,0.59,0.599,0.582,0.536,0.563,0.549,0.527,0.56
run_1,chaser_follower,predator_1,predator_0,ccm_1,x,0.879,0.809,0.817,0.817,0.758,0.717,0.765,0.757,0.793,0.803
run_1,chaser_follower,predator_1,predator_0,ccm_1,y,0.609,0.733,0.768,0.7,0.699,0.524,0.571,0.46,0.561,0.574
run_1,chaser_follower,predator_1,predator_0,ccm_1,dx,0.682,0.726,0.73,0.722,0.684,0.622,0.628,0.664,0.648,0.686
run_1,chaser_follower,predator_1,predator_0,ccm_1,dy,0.658,0.628,0.58,0.624,0.505,0.535,0.504,0.525,0.552,0.554
run_1,chaser_follower,predator_1,predator_0,ccm_2,PCA_1,0.658,0.711,0.756,0.73,0.734,0.764,0.758,0.739,0.73,0.741
run_1,chaser_follower,predator_1,predator_0,ccm_2,PCA_2,0.867,0.798,0.845,0.785,0.801,0.762,0.757,0.736,0.76,0.775
run_1,chaser_follower,predator_1,predator_0,ccm_2,PCA_3,0.931,0.838,0.947,0.906,0.926,0.877,0.894,0.903,0.872,0.892
run_1,chaser_follower,predator_1,predator_0,ccm_2,x,0.897,0.794,0.83,0.823,0.764,0.723,0.759,0.768,0.794,0.804
run_1,chaser_follower,predator_1,predator_0,ccm_2,y,0.725,0.732,0.832,0.773,0.696,0.521,0.563,0.521,0.515,0.537
run_1,chaser_follower,predator_1,predator_0,ccm_2,dx,0.608,0.615,0.608,0.539,0.535,0.496,0.504,0.518,0.499,0.513
run_1,chaser_follower,predator_1,predator_0,ccm_2,dy,0.576,0.54,0.499,0.495,0.421,0.407,0.388,0.381,0.401,0.409
run_1,fixed_follower,predator_0,predator_1,ccm_1,PCA_1,0.308,0.289,0.314,0.311,0.311,0.285,0.283,0.28,0.276,0.273
run_1,fixed_follower,predator_0,predator_1,ccm_1,PCA_2,0.235,0.282,0.276,0.265,0.258,0.277,0.27,0.277,0.274,0.271
run_1,fixed_follower,predator_0,predator_1,ccm_1,PCA_3,0.244,0.386,0.404,0.414,0.36,0.391,0.398,0.409,0.381,0.378
run_1,fixed_follower,predator_0,predator_1,ccm_1,x,0.797,0.785,0.78,0.773,0.766,0.767,0.762,0.769,0.766,0.756
run_1,fixed_follower,predator_0,predator_1,ccm_1,y,0.731,0.705,0.565,0.315,0.536,0.497,0.585,0.569,0.556,0.528
run_1,fixed_follower,predator_0,predator_1,ccm_1,dx,0.327,0.289,0.183,0.126,0.184,0.117,0.144,0.14,0.089,0.122
run_1,fixed_follower,predator_0,predator_1,ccm_1,dy,0.141,0.086,0.078,0.051,0.04,0.091,0.047,0.083,0.03,0.031
run_1,fixed_follower,predator_0,predator_1,ccm_2,PCA_1,0.757,0.708,0.8,0.604,0.78,0.724,0.731,0.709,0.7,0.734
run_1,fixed_follower,predator_0,predator_1,ccm_2,PCA_2,0.856,0.83,0.857,0.836,0.86,0.852,0.816,0.827,0.845,0.838
run_1,fixed_follower,predator_0,predator_1,ccm_2,PCA_3,0.711,0.832,0.879,0.865,0.793,0.835,0.818,0.86,0.83,0.822
run_1,fixed_follower,predator_0,predator_1,ccm_2,x,0.935,0.883,0.893,0.889,0.91,0.895,0.889,0.891,0.89,0.891
run_1,fixed_follower,predator_0,predator_1,ccm_2,y,0.644,0.736,0.617,0.512,0.595,0.566,0.604,0.575,0.582,0.59
run_1,fixed_follower,predator_0,predator_1,ccm_2,dx,0.758,0.679,0.693,0.668,0.674,0.661,0.649,0.657,0.655,0.66
run_1,fixed_follower,predator_0,predator_1,ccm_2,dy,0.498,0.356,0.325,0.316,0.365,0.341,0.342,0.342,0.343,0.341
run_1,fixed_follower,predator_1,predator_0,ccm_1,PCA_1,0.638,0.628,0.666,0.626,0.625,0.62,0.635,0.647,0.641,0.649
run_1,fixed_follower,predator_1,predator_0,ccm_1,PCA_2,0.84,0.784,0.81,0.804,0.816,0.807,0.811,0.807,0.806,0.796
run_1,fixed_follower,predator_1,predator_0,ccm_1,PCA_3,0.295,0.375,0.375,0.409,0.426,0.446,0.457,0.463,0.452,0.465
run_1,fixed_follower,predator_1,predator_0,ccm_1,x,0.699,0.633,0.644,0.629,0.628,0.604,0.581,0.588,0.609,0.611
run_1,fixed_follower,predator_1,predator_0,ccm_1,y,0.56,0.376,0.439,0.37,0.387,0.328,0.395,0.336,0.061,0.314
run_1,fixed_follower,predator_1,predator_0,ccm_1,dx,0.9,0.847,0.87,0.854,0.859,0.857,0.858,0.853,0.847,0.846
run_1,fixed_follower,predator_1,predator_0,ccm_1,dy,0.585,0.468,0.512,0.437,0.475,0.406,0.426,0.469,0.414,0.435
run_1,fixed_follower,predator_1,predator_0,ccm_2,PCA_1,0.764,0.674,0.717,0.663,0.637,0.611,0.644,0.682,0.638,0.649
run_1,fixed_follower,predator_1,predator_0,ccm_2,PCA_2,0.835,0.793,0.849,0.817,0.842,0.831,0.795,0.807,0.83,0.806
run_1,fixed_follower,predator_1,predator_0,ccm_2,PCA_3,0.628,0.762,0.908,0.829,0.874,0.859,0.839,0.841,0.841,0.819
run_1,fixed_follower,predator_1,predator_0,ccm_2,x,0.705,0.614,0.641,0.596,0.665,0.613,0.542,0.565,0.611,0.621
run_1,fixed_follower,predator_1,predator_0,ccm_2,y,0.66,0.4,0.426,0.326,0.36,0.323,0.37,0.32,0.328,0.354
run_1,fixed_follower,predator_1,predator_0,ccm_2,dx,0.744,0.669,0.678,0.662,0.664,0.653,0.651,0.656,0.663,0.652
run_1,fixed_follower,predator_1,predator_0,ccm_2,dy,0.469,0.342,0.342,0.331,0.337,0.312,0.328,0.329,0.31,0.314
run_1,chaser_fixed,predator_0,predator_1,ccm_1,PCA_1,0.257,0.258,0.267,0.294,0.293,0.291,0.287,0.272,0.26,0.264
run_1,chaser_fixed,predator_0,predator_1,ccm_1,PCA_2,0.29,0.254,0.291,0.315,0.291,0.284,0.286,0.265,0.26,0.252
run_1,chaser_fixed,predator_0,predator_1,ccm_1,PCA_3,0.167,0.113,0.175,0.204,0.251,0.256,0.261,0.245,0.264,0.294
run_1,chaser_fixed,predator_0,predator_1,ccm_1,x,0.317,0.278,0.204,0.148,0.118,0.092,0.054,0.063,0.073,0.098
run_1,chaser_fixed,predator_0,predator_1,ccm_1,y,0.18,0.217,0.166,0.114,0.149,0.078,0.075,0.084,0.108,0.079
run_1,chaser_fixed,predator_0,predator_1,ccm_1,dx,0.257,0.119,0.09,0.098,0.068,0.033,0.048,0.069,0.027,0.05
run_1,chaser_fixed,predator_0,predator_1,ccm_1,dy,-0.007,0.087,0.043,0.072,0.052,0.07,0.026,0.013,0.037,0.031
run_1,chaser_fixed,predator_0,predator_1,ccm_2,PCA_1,0.617,0.617,0.653,0.621,0.628,0.618,0.626,0.608,0.592,0.606
run_1,chaser_fixed,predator_0,predator_1,ccm_2,PCA_2,0.667,0.685,0.719,0.673,0.674,0.659,0.656,0.64,0.648,0.65
run_1,chaser_fixed,predator_0,predator_1,ccm_2,PCA_3,0.8,0.787,0.824,0.799,0.854,0.815,0.804,0.821,0.843,0.805
run_1,chaser_fixed,predator_0,predator_1,ccm_2,x,0.193,0.269,0.219,0.187,0.125,0.09,0.099,0.065,0.071,0.063
run_1,chaser_fixed,predator_0,predator_1,ccm_2,y,0.242,0.133,0.14,0.132,0.161,0.115,0.124,0.153,0.133,0.103
run_1,chaser_fixed,predator_0,predator_1,ccm_2,dx,0.209,0.117,0.077,0.069,0.038,0.02,0.005,0.007,0.014,0.002
run_1,chaser_fixed,predator_0,predator_1,ccm_2,dy,0.028,0.016,-0.018,0.064,0.055,0.03,0.039,0.03,0.018,0.019
run_1,chaser_fixed,predator_1,predator_0,ccm_1,PCA_1,0.137,0.153,0.146,0.147,0.159,0.173,0.157,0.169,0.169,0.169
run_1,chaser_fixed,predator_1,predator_0,ccm_1,PCA_2,0.064,0.103,0.083,0.125,0.14,0.153,0.142,0.153,0.148,0.151
run_1,chaser_fixed,predator_1,predator_0,ccm_1,PCA_3,0.071,0.104,0.052,0.031,-0.013,-0.016,0.05,0.079,0.063,0.078
run_1,chaser_fixed,predator_1,predator_0,ccm_1,x,0.383,0.338,0.302,0.256,0.212,0.208,0.16,0.156,0.178,0.183
run_1,chaser_fixed,predator_1,predator_0,ccm_1,y,0.312,0.337,0.289,0.205,0.245,0.231,0.212,0.119,0.148,0.141
run_1,chaser_fixed,predator_1,predator_0,ccm_1,dx,0.225,0.179,0.113,0.074,0.079,0.073,0.054,0.035,0.053,0.035
run_1,chaser_fixed,predator_1,predator_0,ccm_1,dy,0.19,0.118,0.09,0.043,0.078,0.047,0.034,0.039,0.015,0.029
run_1,chaser_fixed,predator_1,predator_0,ccm_2,PCA_1,0.643,0.59,0.584,0.643,0.671,0.685,0.677,0.691,0.685,0.698
run_1,chaser_fixed,predator_1,predator_0,ccm_2,PCA_2,0.707,0.703,0.719,0.728,0.715,0.711,0.708,0.712,0.711,0.72
run_1,chaser_fixed,predator_1,predator_0,ccm_2,PCA_3,0.76,0.755,0.786,0.812,0.798,0.816,0.812,0.848,0.829,0.828
run_1,chaser_fixed,predator_1,predator_0,ccm_2,x,0.512,0.38,0.332,0.312,0.226,0.258,0.194,0.197,0.208,0.175
run_1,chaser_fixed,predator_1,predator_0,ccm_2,y,0.418,0.231,0.278,0.256,0.249,0.235,0.206,0.209,0.191,0.18
run_1,chaser_fixed,predator_1,predator_0,ccm_2,dx,0.257,0.155,0.071,0.05,0.026,0.018,0.007,0.001,-0.003,0.012
run_1,chaser_fixed,predator_1,predator_0,ccm_2,dy,0.116,0.11,0.071,0.05,0.055,0.041,0.021,0.013,0.005,0.003
run_2,chaser_follower,predator_0,predator_1,ccm_1,PCA_1,0.246,0.247,0.192,0.177,0.21,0.229,0.24,0.213,0.22,0.21
run_2,chaser_follower,predator_0,predator_1,ccm_1,PCA_2,0.116,0.142,0.121,0.164,0.178,0.169,0.19,0.204,0.2,0.199
run_2,chaser_follower,predator_0,predator_1,ccm_1,PCA_3,0.458,0.351,0.391,0.422,0.447,0.432,0.489,0.549,0.562,0.58
run_2,chaser_follower,predator_0,predator_1,ccm_1,x,0.756,0.702,0.718,0.746,0.788,0.797,0.792,0.803,0.817,0.814
run_2,chaser_follower,predator_0,predator_1,ccm_1,y,0.609,0.547,0.619,0.612,0.637,0.671,0.609,0.583,0.624,0.631
run_2,chaser_follower,predator_0,predator_1,ccm_1,dx,0.339,0.301,0.287,0.272,0.272,0.299,0.271,0.261,0.276,0.288
run_2,chaser_follower,predator_0,predator_1,ccm_1,dy,0.215,0.255,0.197,0.219,0.105,0.171,0.113,0.221,0.197,0.19
run_2,chaser_follower,predator_0,predator_1,ccm_2,PCA_1,0.714,0.781,0.777,0.759,0.699,0.733,0.725,0.737,0.754,0.758
run_2,chaser_follower,predator_0,predator_1,ccm_2,PCA_2,0.757,0.758,0.778,0.757,0.779,0.781,0.811,0.802,0.778,0.742
run_2,chaser_follower,predator_0,predator_1,ccm_2,PCA_3,0.927,0.758,0.836,0.869,0.884,0.88,0.915,0.926,0.918,0.927
run_2,chaser_follower,predator_0,predator_1,ccm_2,x,0.816,0.783,0.746,0.786,0.79,0.798,0.781,0.809,0.799,0.838
run_2,chaser_follower,predator_0,predator_1,ccm_2,y,0.749,0.619,0.628,0.605,0.6,0.615,0.539,0.533,0.542,0.586
run_2,chaser_follower,predator_0,predator_1,ccm_2,dx,0.521,0.52,0.479,0.471,0.528,0.526,0.521,0.535,0.541,0.52
run_2,chaser_follower,predator_0,predator_1,ccm_2,dy,0.366,0.394,0.388,0.365,0.404,0.398,0.392,0.378,0.359,0.338
run_2,chaser_follower,predator_1,predator_0,ccm_1,PCA_1,0.172,0.273,0.297,0.309,0.374,0.397,0.407,0.405,0.405,0.399
run_2,chaser_follower,predator_1,predator_0,ccm_1,PCA_2,0.193,0.275,0.335,0.353,0.384,0.387,0.381,0.39,0.387,0.369
run_2,chaser_follower,predator_1,predator_0,ccm_1,PCA_3,0.61,0.483,0.444,0.445,0.51,0.474,0.525,0.577,0.584,0.595
run_2,chaser_follower,predator_1,predator_0,ccm_1,x,0.767,0.747,0.74,0.763,0.805,0.79,0.801,0.812,0.76,0.825
run_2,chaser_follower,predator_1,predator_0,ccm_1,y,0.719,0.563,0.607,0.589,0.515,0.639,0.544,0.611,0.62,0.639
run_2,chaser_follower,predator_1,predator_0,ccm_1,dx,0.62,0.498,0.591,0.602,0.649,0.673,0.579,0.658,0.655,0.643
run_2,chaser_follower,predator_1,predator_0,ccm_1,dy,0.445,0.476,0.492,0.424,0.496,0.512,0.471,0.503,0.517,0.538
run_2,chaser_follower,predator_1,predator_0,ccm_2,PCA_1,0.698,0.779,0.762,0.754,0.732,0.752,0.761,0.742,0.718,0.729
run_2,chaser_follower,predator_1,predator_0,ccm_2,PCA_2,0.754,0.762,0.773,0.75,0.738,0.743,0.759,0.775,0.768,0.743
run_2,chaser_follower,predator_1,predator_0,ccm_2,PCA_3,0.906,0.685,0.841,0.87,0.905,0.862,0.901,0.915,0.907,0.913
run_2,chaser_follower,predator_1,predator_0,ccm_2,x,0.806,0.745,0.803,0.746,0.784,0.814,0.695,0.828,0.809,0.723
run_2,chaser_follower,predator_1,predator_0,ccm_2,y,0.616,0.614,0.621,0.569,0.603,0.604,0.402,0.591,0.579,0.63
