mode,agent_a,agent_b,test,dimension,500,1000,1500,2000,2500,3000,3500,4000,4500,5000
chaser_fixed,predator_1,predator_0,ccm_1,PCA_2,0.12530000000000002,0.1419,0.13699999999999998,0.1481,0.14750000000000002,0.1516,0.1522,0.1502,0.14689999999999998,0.1485
chaser_fixed,predator_1,predator_0,ccm_1,PCA_3,0.20790000000000003,0.137,0.1547,0.145,0.1325,0.1301,0.146,0.1437,0.1397,0.1387
chaser_fixed,predator_1,predator_0,ccm_1,dx,0.2111,0.1654,0.11220000000000001,0.0869,0.0702,0.056400000000000006,0.05670000000000001,0.044700000000000004,0.039,0.0347
chaser_fixed,predator_1,predator_0,ccm_1,dy,0.2476,0.1446,0.1186,0.0834,0.08220000000000001,0.0668,0.0475,0.0421,0.0335,0.0335
chaser_fixed,predator_1,predator_0,ccm_1,x,0.3734,0.3289,0.2867,0.2599,0.22160000000000002,0.2,0.1807,0.18009999999999998,0.1573,0.1515
chaser_fixed,predator_1,predator_0,ccm_1,y,0.4255,0.3647,0.3267,0.26680000000000004,0.2407,0.2225,0.18760000000000002,0.1679,0.153,0.1469
chaser_fixed,predator_1,predator_0,ccm_2,PCA_1,0.6881999999999999,0.6878,0.6881999999999999,0.6968,0.7011999999999999,0.704,0.6992999999999999,0.6973,0.6957,0.6967
chaser_fixed,predator_1,predator_0,ccm_2,PCA_2,0.7162,0.7221,0.7238,0.7202999999999999,0.7221,0.7234999999999999,0.7212,0.717,0.717,0.7196
chaser_fixed,predator_1,predator_0,ccm_2,PCA_3,0.8236000000000001,0.8058,0.8154999999999999,0.8186,0.8035,0.8221999999999999,0.819,0.8324,0.8318999999999999,0.8247
chaser_fixed,predator_1,predator_0,ccm_2,dx,0.22410000000000002,0.1303,0.08149999999999999,0.058499999999999996,0.0414,0.0301,0.0225,0.0191,0.010400000000000001,0.0111
chaser_fixed,predator_1,predator_0,ccm_2,dy,0.2133,0.11080000000000001,0.0786,0.0507,0.036,0.032,0.0243,0.0169,0.013300000000000001,0.0129
chaser_fixed,predator_1,predator_0,ccm_2,x,0.49779999999999996,0.40709999999999996,0.35350000000000004,0.317,0.268,0.2536,0.2271,0.2178,0.21610000000000001,0.19590000000000002
chaser_fixed,predator_1,predator_0,ccm_2,y,0.5660999999999999,0.4138,0.3572,0.30619999999999997,0.2556,0.24159999999999998,0.2169,0.2105,0.1917,0.1643
chaser_follower,predator_0,predator_1,ccm_1,PCA_1,0.2575,0.2598,0.2559,0.2607,0.25880000000000003,0.2621,0.2604,0.2539,0.2515,0.25
chaser_follower,predator_0,predator_1,ccm_1,PCA_2,0.22280000000000003,0.18280000000000002,0.1925,0.1998,0.20600000000000002,0.1994,0.1957,0.19690000000000002,0.1964,0.1984
chaser_follower,predator_0,predator_1,ccm_1,PCA_3,0.5155000000000001,0.4699,0.5043,0.5292,0.5327,0.5307000000000001,0.5317999999999999,0.5408000000000001,0.5317999999999999,0.5307999999999999
chaser_follower,predator_0,predator_1,ccm_1,dx,0.3779,0.2958,0.2826,0.2406,0.2425,0.2403,0.2238,0.2133,0.2291,0.20949999999999996
chaser_follower,predator_0,predator_1,ccm_1,dy,0.3218,0.254,0.2373,0.2226,0.1898,0.16770000000000002,0.15030000000000002,0.1575,0.154,0.1598
chaser_follower,predator_0,predator_1,ccm_1,x,0.8162,0.8005000000000001,0.7762,0.7754000000000001,0.7921,0.7676000000000001,0.7764,0.7626999999999999,0.7834,0.7807999999999999
chaser_follower,predator_0,predator_1,ccm_1,y,0.7375,0.6843,0.6752,0.667,0.6847,0.6627,0.6795,0.6538999999999999,0.6733,0.6684
chaser_follower,predator_0,predator_1,ccm_2,PCA_1,0.7673,0.7468,0.7691,0.7553,0.742,0.7546,0.7565000000000001,0.7593,0.76,0.7514000000000001
chaser_follower,predator_0,predator_1,ccm_2,PCA_2,0.7751,0.7604,0.7785,0.7754000000000001,0.7787,0.7886,0.7823,0.7719,0.778,0.7831
chaser_follower,predator_0,predator_1,ccm_2,PCA_3,0.905,0.8724000000000001,0.8943,0.8955,0.8945000000000001,0.8877,0.9017,0.8911,0.8861000000000001,0.8882
chaser_follower,predator_0,predator_1,ccm_2,dx,0.6559999999999999,0.6001000000000001,0.5786,0.5631999999999999,0.5688,0.5538000000000001,0.5604,0.5523,0.5537,0.5501
chaser_follower,predator_0,predator_1,ccm_2,dy,0.552,0.49879999999999997,0.46180000000000004,0.45120000000000005,0.4452,0.4356,0.4415,0.4255,0.42919999999999997,0.42219999999999996
chaser_follower,predator_0,predator_1,ccm_2,x,0.8132999999999999,0.8304,0.7852,0.7849,0.784,0.7779,0.7806,0.769,0.7721,0.7752
chaser_follower,predator_0,predator_1,ccm_2,y,0.7598,0.6992,0.6900000000000001,0.6847000000000001,0.6642,0.6474,0.645,0.6397,0.6396,0.6515000000000001
chaser_follower,predator_1,predator_0,ccm_1,PCA_1,0.45760000000000006,0.4495,0.4508,0.43179999999999996,0.4264,0.4244,0.42800000000000005,0.41980000000000006,0.41690000000000005,0.41579999999999995
