"episodes_total","training.model.use_lstm: true - _step","training.model.use_lstm: true - _step__MIN","training.model.use_lstm: true - _step__MAX","training.model.use_lstm: true - episode_len_mean","training.model.use_lstm: true - episode_len_mean__MIN","training.model.use_lstm: true - episode_len_mean__MAX"
"2716","27","27","27","89.46","89.46","89.46"
"2730","27","27","27","82.23","80.65","83.81"
"2735","27","27","27","86.78","86.78","86.78"
"2737","27","27","27","79.33","79.33","79.33"
"2742","27","27","27","80.88","80.88","80.88"
"2750","27","27","27","98.47","98.47","98.47"
"2755","27","27","27","86.02","86.02","86.02"
"2771","27","27","27","88.82","88.82","88.82"
"2779","27","27","27","81.02","81.02","81.02"
"2784","27","27","27","73.28","73.28","73.28"
"2801","28","28","28","94.47","94.47","94.47"
"2805","28","28","28","95.76","95.76","95.76"
"2810","28","28","28","91.76","91.76","91.76"
"2818","28","28","28","92.25","92.25","92.25"
"2820","28","28","28","78.36","78.36","78.36"
"2826","27","27","27","69.62","69.62","69.62"
"2834","28","28","28","82.49","82.49","82.49"
"2839","28","28","28","82.44","82.44","82.44"
"2843","28","28","28","80.45","80.45","80.45"
"2846","28","28","28","78.33","78.33","78.33"
"2847","28","28","28","84.49","84.49","84.49"
"2857","28","28","28","80.95","80.95","80.95"
"2866","28","28","28","81.07","81.07","81.07"
"2874","28","28","28","93.32","93.32","93.32"
"2888","28","28","28","79.21","79.21","79.21"
"2891","28","28","28","77.85","77.85","77.85"
"2901","29","29","29","96.25","96.25","96.25"
"2906","29","29","29","95.37","95.37","95.37"
"2910","29","29","29","97.7","97.7","97.7"
"2919","29","29","29","87.72","87.72","87.72"
"2923","29","29","29","82.44","82.44","82.44"
"2940","29","29","29","80.09","80.09","80.09"
"2941","28.5","28","29","80.33","74.05","86.61"
"2950","29","29","29","87.98","87.98","87.98"
"2957","29","29","29","78.13","78.13","78.13"
"2958","29","29","29","73.93","73.93","73.93"
"2963","29","29","29","85.78","85.78","85.78"
"2980","29","29","29","77.68","77.68","77.68"
"2983","29","29","29","83.2","83.2","83.2"
"2998","29","29","29","82.63","82.63","82.63"
"3001","30","30","30","97.96","97.96","97.96"
"3004","29","29","29","72.31","72.31","72.31"
"3010","30","30","30","89.73","89.73","89.73"
"3014","30","30","30","89","89","89"
"3020","30","30","30","88.26","88.26","88.26"
"3031","30","30","30","76.9","76.9","76.9"
"3044","30","30","30","85.57","85.57","85.57"
"3045","30","30","30","91.98","91.98","91.98"
"3052","29","29","29","77.36","77.36","77.36"
"3053","30","30","30","88.15","88.15","88.15"
"3064","30","30","30","79.97","79.97","79.97"
"3068","30","30","30","85.45","85.45","85.45"
"3072","30","30","30","76.14","76.14","76.14"
"3092","30","30","30","78.22","78.22","78.22"
"3094","30","30","30","75.64","75.64","75.64"
"3101","31","31","31","98.19","98.19","98.19"
"3107","30","30","30","75.35","75.35","75.35"
"3113","31","31","31","94.72","94.72","94.72"
"3116","31","31","31","87.07","87.07","87.07"
"3122","31","31","31","88.93","88.93","88.93"
"3128","30","30","30","66.43","66.43","66.43"
"3138","31","31","31","78.69","78.69","78.69"
"3146","31","31","31","87.9","87.9","87.9"
"3148","31","31","31","83.27","83.27","83.27"
"3163","31","31","31","81.9","81.9","81.9"
"3171","30","30","30","68.37","68.37","68.37"
"3172","31","31","31","87","87","87"
"3175","31","31","31","76.74","76.74","76.74"
"3177","31","31","31","87","87","87"
"3201","32","32","32","97.98","97.98","97.98"
"3208","31","31","31","70.29","70.29","70.29"
"3210","31","31","31","75.15","75.15","75.15"
"3215","32","32","32","90.69","90.69","90.69"
